,element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
96,Cl,1,438.975,438.9751,100,11000000.0,D,71958.363,94732.30,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4D*,7/2,,T8043,L298
97,Cl,1,436.95,436.9498,100,2800000.0,D+,72827.038,95706.534,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).5p,2D*,3/2,,"T1277,T694",L298
98,Cl,1,452.619,452.6182,100,20000000.0,C,74225.846,96313.330,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).5p,2P*,3/2,,T8043,L298
99,Cl,1,437.99,437.9896,100,5600000.0,D,72488.568,95313.749,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).5p,4D*,3/2,,T8043,L298
100,Cl,1,594.858,,100,,,,,,,,,,,,,L298
101,Cl,2,839.202,839.202,100,9600000.0,E,119843.31,131756.12,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).4p,3P,1,,"T1619CA,LS",L1617
102,Cl,1,439.04,439.0403,90,1600000.0,D+,72827.038,95597.593,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).5p,4D*,1/2,,"T1277,T694",L298
103,Cl,1,447.53,447.5304,90,2600000.0,D+,72488.568,94827.150,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).5p,2D*,5/2,,"T1277,T694",L298
104,Cl,1,440.303,440.302,90,3000000.0,D,71958.363,94663.670,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4P*,3/2,,"T1277,T694",L298
105,Cl,1,460.098,460.0977,80,8400000.0,C,74865.667,96594.096,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(3P).5p,2P*,1/2,,T8043,L298
106,Cl,1,466.1208,466.1208,80,4800000.0,C,74865.667,96313.330,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(3P).5p,2P*,3/2,,T8043,L298
107,Cl,1,420.967,420.9665,65,1600000.0,D+,71958.363,95706.534,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,2D*,3/2,,"T1277,T694",L298
108,Cl,1,426.458,426.458,60,1000000.0,D+,71958.363,95400.731,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4D*,5/2,,"T1277,T694",L298
109,Cl,1,579.6305,,50,,,,,,,,,,,,,L298
110,Cl,1,601.9812,,50,,,,,,,,,,,,,L298
111,Cl,1,465.404,465.4041,50,2000000.0,D+,74225.846,95706.534,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).5p,2D*,3/2,,"T1277,T694",L298
112,Cl,1,422.642,422.6426,50,2200000.0,D+,71958.363,95612.357,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,4S*,3/2,,"T1277,T694",L298
113,Cl,1,469.1523,469.1523,45,2200000.0,D+,74225.846,95534.923,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).5p,2S*,1/2,,"T1277,T694",L298
114,Cl,1,474.0729,474.0729,45,1700000.0,D+,74225.846,95313.749,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).5p,4D*,3/2,,"T1277,T694",L298
115,Cl,1,579.9914,,45,,,,,,,,,,,,,L298
116,Cl,1,472.1255,472.1255,40,1300000.0,D+,74225.846,95400.731,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).5p,4D*,5/2,,"T1277,T694",L298
117,Cl,1,553.2162,,40,,,,,,,,,,,,,L298
118,Cl,1,462.3938,462.3938,40,1800000.0,D+,74865.667,96486.198,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2D*,3/2,,"T1277,T694",L298
119,Cl,1,608.261,,35,,,,,,,,,,,,,L298
120,Cl,1,509.9789,509.9789,30,1700000.0,D,74865.667,94468.857,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2P*,1/2,,T694,L298
121,Cl,1,585.6742,,30,,,,,,,,,,,,,L298
122,Cl,1,410.479,410.47803,20,800000.0,D,71958.363,96313.330,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).5p,2P*,3/2,,T694,L298
